x,y
8.998150671116658,-0.0768895448343022
8.998328150519423,0.035656478120982896
8.997144072285401,0.14611162371949293
8.994675527526578,0.25444217910071076
8.990998927891585,0.36061628938667445
8.986189972434268,0.4646038945854478
8.980323612595253,0.5663766646733223
8.973474015135402,0.6659079330058688
8.965714522886259,0.7631726282058224
8.957117613205593,0.8581472046766366
8.947754854046233,0.9508095718874197
8.937696857563447,1.041139022574864
8.927013231200137,1.1291161600062696
8.915824768722047,1.2147228244454165
8.904313951031579,1.2979420189623632
8.892512622865153,1.378757834726632
8.880424842670015,1.4571553759206357
8.86803717517663,1.5331206844101748
8.855322730598486,1.6066406643057038
8.842244936728543,1.677703006547516
8.828761042700167,1.7462961136464652
8.814825354316909,1.8124090247097666
8.800392201749963,1.8760313408808553
8.78541864112312,1.937153151321065
8.769866892106734,1.995764959859098
8.753706514165264,2.0518576124346195
8.736916324578516,2.1054222254603805
8.719486061803469,2.156450115227554
8.701417798172681,2.2049327284785827
8.682727106339964,2.2508615742712434
8.663443984279782,2.2942281572583307
8.64361354401545,2.3350239125076744
8.623296469579095,2.373240141987348
8.60256924997636,2.4088679528426926
8.581524193123494,2.4418981975921366
8.560269226822422,2.472321416370835
8.53892749282144,2.5001277813528517
8.517636739855114,2.525307043484426
8.495630234162585,2.5478484816635865
8.471537262781862,2.567740854504056
8.445377003603815,2.584972354824163
8.417243340269959,2.5995305670052535
8.387302918740195,2.611402427367408
8.355806263504599,2.620574187714476
8.323095159727854,2.6270313822047595
8.28960637075471,2.6307587977081406
8.255881540701324,2.6317071510425363
8.22311423338682,2.6279058355431806
8.192278757272343,2.618378191608847
8.164061446471393,2.603358320728528
8.13875236662221,2.583077619455995
8.115310062392355,2.5577653111159373
8.093519474085705,2.5276489690121187
8.073223961328123,2.4929550233687015
8.054245316266842,2.4539092453027815
8.036386356560332,2.410737202132484
8.019433225066267,2.3636646792754523
8.00315741453374,2.3129180648888785
7.98731753324884,2.258724694249925
7.971660825252058,2.2013131516743134
7.955924456530328,2.1409135285242122
7.939836576555068,2.0777576365659334
7.923117162744392,2.012079176602248
7.9054786539132,1.9441138629250565
7.8866263775697,1.8740995047118965
7.866258775040645,1.8022760460207676
7.844067427875568,1.7288855665256462
7.819736888800012,1.6541722455740726
7.792944320665298,1.578382292539841
7.763358947381482,1.501763846786583
7.730641321724288,1.4245668508483056
7.694442416181888,1.3470429006713176
7.654402544663389,1.2694450769473231
7.610150124940314,1.1920277616952422
7.561300294158966,1.115046444323642
7.506153896984344,1.0387575214203781
7.4433104510331365,0.9634180944737469
7.373095161061657,0.8892857696294806
7.295887868747981,0.816618463427791
7.212130071043404,0.7456742182466967
7.122331101178581,0.6767110309022255
7.027072380550862,0.6099866975202314
6.9270097968531195,0.5457586774038383
6.822874293764186,0.4842839781707805
6.715470785378813,0.4258190639299754
6.605675533064708,0.3706197877069368
6.494432142359911,0.31894134871215607
6.3809827484386945,0.27103827437790706
6.263520782462398,0.22716442636765566
6.142081018694293,0.18757302898652137
6.016707243497484,0.15251671759512153
5.8874450111237655,0.12224760374893956
5.7543409221818544,0.09701735285358275
5.617441979533763,0.0770772691419721
5.476795040727365,0.06267838174132398
5.332446386541792,0.05407152450649505
5.184441442138706,0.05150237867521403
5.0328275718874975,0.05435054387255835
4.877652815251754,0.06192161626294589
4.716610427078893,0.07402606310095408
4.548114297673693,0.09047427562949195
4.373231219492661,0.1110765362473296
4.193098374650365,0.1356429787581503
4.008922071805514,0.16398354563443276
3.8219745383380164,0.19590794571458395
3.6335890138218145,0.23122561526106566
3.4451534246662012,0.26974568483894
3.25810294530866,0.31127695402982536
3.073911767196065,0.35562787557460274
2.8940844018730045,0.40260655013900387
2.7201198584138138,0.4520207325205919
2.551959081313516,0.5036778497626789
2.388446924974035,0.557385031310023
2.228652251657429,0.6129491510350921
2.0716133358289786,0.6701768806790147
1.9163435712019419,0.7288747539916893
1.7618364070468724,0.7888492406190059
1.6070696788421612,0.8499068285719742
1.4510094889535616,0.9118541139246319
1.2926137877672805,0.9744978962235855
1.1308358047977016,1.0376452779517795
0.9646274828855732,1.1011037662754675
0.7927213425666471,1.1646813752121816
0.6080981863097369,1.228186726293102
0.410739929302409,1.2914291457528844
0.2046510197310902,1.3542187562638124
-0.00613918718016378,1.4163665612407148
-0.217596544624503,1.4776845197764419
-0.4257052154039281,1.5379856103243332
-0.6264908934522723,1.5970838813264532
-0.8160412502934061,1.6547944870896532
-0.9905209107394612,1.7109337073396949
-1.1461786821200912,1.7653189490335361
-1.2793453870947944,1.817768729181242
-1.3877754715694042,1.8681026376231094
-1.4870258425370848,1.9161412789222385
-1.582598441365824,1.9617061927677368
-1.6746477425215838,2.0046197525407345
-1.7633314386413637,2.0447050419707824
-1.8488098887422533,2.0817857101073933
-1.9312455720053354,2.115685805148101
-2.0108025465146318,2.146229588001198
-2.087645912266753,2.1732413268194213
-2.1619412776590274,2.1965450741196606
-2.23385422851385,2.215964428504028
-2.3035497985093683,2.2313222834213073
-2.371191939657343,2.242440565853955
-2.4369429912049965,2.249139968287482
-2.50096289284955,2.2512430789054414
-2.563310229621785,2.2498699881591997
-2.6240383227832194,2.246058808788866
-2.683269035904533,2.2398628770366154
-2.741121785024326,2.2313350620169583
-2.7977136145207795,2.2205278098550267
-2.8531592806267123,2.207493188734924
-2.9075713402093766,2.1922829344873382
-2.961060242644284,2.174948496370314
-3.013734422805459,2.1555410827211943
-3.0657003933746334,2.1341117061807564
-3.1170628348383467,2.1107112282129146
-3.1679246816950957,2.085390402665248
-3.2183872035375116,2.0581999181361876
-3.268550079804012,2.029190438935384
-3.318511467114787,1.998412644443187
-3.368368058216391,1.9659172666941882
