time/T_position,positional_angle,time/T_elevation,elevation_angle,time/T_feathering,feathering_angle
5.06036,64.5805,7.45761,15.21406,2.42153,15.55556
5.08371,46.24522,7.49489,5.21096,2.43977,20.55556
5.10738,30.40991,7.57104,-2.29539,2.46705,28.88889
5.13084,12.90796,7.63627,5.19917,2.46648,35.0
5.16768,-0.42844,7.72764,16.02489,2.475,43.88889
5.20464,-12.93152,7.75152,1.85624,2.49309,50.55556
5.2417,-24.60128,7.81418,-10.64899,2.49241,57.77778
5.27919,-32.93774,7.87995,1.0122,2.49241,57.77778
5.40633,-43.78166,7.92054,16.84215,2.51039,65.55556
5.45924,-32.11941,7.9831,3.5036,2.51928,70.55556
5.53807,-18.79264,8.11163,3.49289,2.54677,76.66667
5.55307,-2.12723,8.1383,10.99067,2.59381,73.88889
5.61991,17.8672,8.21553,11.81757,2.59432,68.33333
5.64861,41.19814,8.27755,-5.6876,2.6043,61.66667
5.68931,57.86142,8.36741,-6.52842,2.65175,54.44444
5.7298,72.85805,8.39515,9.3026,2.65227,48.88889
5.82095,82.01712,8.45996,13.46387,2.65305,40.55556
5.92496,91.17512,8.56053,-4.04452,2.66267,37.77778
5.97498,80.33761,8.62662,10.11664,2.6821,30.0
5.99951,71.1689,8.69121,12.61126,2.69203,23.88889
6.04921,57.83143,8.75366,-1.56061,2.71126,18.33333
6.07341,46.16274,8.84341,-3.23476,2.73989,12.22222
6.09741,32.82741,8.89611,6.76085,2.77814,3.33333
6.12119,17.82543,8.9486,15.08981,2.79747,-3.33333
6.14529,5.32342,8.99915,8.41893,2.84518,-13.33333
6.16917,-8.84524,9.0495,0.0814,2.91082,-15.0
6.25679,-27.18587,9.12822,12.57484,2.9301,-21.11111
6.30702,-36.35672,9.20502,10.06844,2.94954,-28.88889
6.37022,-44.69532,9.22912,-2.43356,2.98779,-37.77778
6.40931,-40.53191,9.33141,-6.60876,2.99782,-45.0
6.44884,-33.03521,9.3719,8.38787,3.02656,-52.22222
6.48868,-23.03853,9.4623,11.71367,3.03659,-59.44444
6.51557,-13.8741,9.52475,-2.4582,3.04656,-66.11111
6.55649,4.45582,9.6039,13.36854,3.09412,-74.44444
6.57041,12.78799,9.69345,10.02774,3.1029,-68.33333
6.59729,21.95242,9.73072,0.02464,3.12114,-63.33333
6.6245,33.61682,9.78053,-12.47952,3.13928,-57.22222
6.65117,41.1146,9.85936,0.84725,3.13871,-51.11111
6.67816,51.11235,9.92534,14.17508,3.14749,-45.0
6.70526,61.94342,,,3.17483,-37.22222
6.75807,72.77236,,,3.1833,-27.77778
6.7721,81.93785,,,3.20138,-21.11111
6.82448,89.43349,,,3.21017,-15.0
6.86357,93.5969,,,3.22841,-10.0
6.97765,81.08739,,,3.26473,1.66667
6.98857,66.08648,,,3.27331,10.0
7.02563,54.41673,,,3.3099,18.88889
7.07533,41.07925,,,3.37543,18.33333
7.08636,26.91167,,,3.41259,21.11111
